Ruc,Empresa,Establecimiento,Giro,Resolución,Código Sala,Vigencia,Máq.,Memoria,Mesas,Dirección,Distrito,Provincia,Departamento
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA IQUITOS 4,,1985,120511045,19/05/2027,119,286,--,Jr. PROSPERO No. 533 - 535,IQUITOS,MAYNAS,LORETO
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA SULLANA 3,,2129,120511046,26/07/2026,193,452,--,Calle SAN MARTIN No. 734,SULLANA,SULLANA,PIURA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,LURIN,,1639,120511048,--,100,210,--,Jr. BOLOGNESI No. 149,LURIN,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA LOS OLIVOS 2,,2423,120511049,19/08/2026,46,71,--,Av. CARLOS IZAGUIRRE No. 486,LOS OLIVOS,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,MOYOBAMBA 1,,2178,120511050,26/05/2027,95,199,--,Jr. SERAFIN FILOMENO No. 615 - 617,MOYOBAMBA,MOYOBAMBA,SAN MARTÍN
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,BAGUA GRANDE,,3671,120511051,28/08/2027,62,86,--,Jr. MESONES MURO No. 335,BAGUA GRANDE,UTCUBAMBA,AMAZONAS
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,JAEN,,1930,120511052,12/07/2026,89,116,--,Av. ALFONSO VILLANUEVA PINILLOS No. 146 - 148,JAÉN,JAÉN,CAJAMARCA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,LOS OLIVOS 3,,1449,120511053,7/07/2026,112,253,--,Av. ANTUNEZ DE MAYOLO No. 1220,LOS OLIVOS,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,ILO,,964,120511054,17/03/2027,170,298,--,Av. 28 DE JULIO No. 212,ILO,ILO,MOQUEGUA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA CHORRILLOS,,4431 - 2026,120511057,23/06/2030,92,148,--,Av. DEFENSORES DEL MORRO No. 914,CHORRILLOS,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,CAJAMARCA 2,,2600,120511058,1/09/2026,52,89,--,Av. LOS HEROES No. 466 - 466,CAJAMARCA,CAJAMARCA,CAJAMARCA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,JULIACA 3,,2616,120511060,6/09/2026,74,236,--,RAUL PORRAS BARRENECHEA No. 494 - 496,JULIACA,SAN ROMÁN,PUNO
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA SAN GERMAN,,767 - 2026,120511061,10/02/2030,181,384,--,Av. UNIVERSITARIA NORTE (ANTES AV. UNIVERSITARIA 705) No. 1105 - 1113,SAN MARTÍN DE PORRES,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA AREQUIPA 1,,1319 - 2026,120511062,27/02/2030,74,156,--,Calle MERCADERES No. 408A,AREQUIPA,AREQUIPA,AREQUIPA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA HUARAZ 2,,3898 - 2026,120511063,1/06/2030,66,121,--,Av. MARISCAL TORIBIO DE LUZURIAGA No. 421,HUARAZ,HUARAZ,ÁNCASH
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA HUARAZ 5,,2450,120511065,24/08/2026,77,185,--,Av. LUZURIAGA No. 477 - 477 - 479 - 479,HUARAZ,HUARAZ,ÁNCASH
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA HUARAZ 4,,509,120511066,--,144,349,--,Av. FITZCARRALD No. 272 - 272,HUARAZ,HUARAZ,ÁNCASH
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA COMAS 5,,1640,120511069,--,37,100,--,Av. MEXICO No. 478,COMAS,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA CAJAMARCA 1,,1580,120511071,28/06/2027,99,200,--,Jr. AMALIA PUGA No. 424 y Jr. TARAPACA No. 786,CAJAMARCA,CAJAMARCA,CAJAMARCA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA SAN JUAN 6,,3860 - 2026,120511072,29/05/2030,60,85,--,"Av. VARGAS MACHUCA, ZONA B No. 336",SAN JUAN DE MIRAFLORES,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SAN JUAN 4,,2027,120511073,18/07/2026,112,168,--,Av. LOS HEROES No. 1180 - 1180 A,SAN JUAN DE MIRAFLORES,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,BARRANCO 1,,75,120511074,13/01/2027,77,247,--,Av. GRAU No. 421 - 423,BARRANCO,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA DOS DE MAYO,,1472 - 2026,120511075,6/03/2030,76,127,--,Av. ALFONSO UGARTE No. 436,LIMA,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SAN MARTIN 3,,3670,120511076,28/08/2027,219,411,--,Av. PERU No. 3621 - 3623 - 3625 - 3629,SAN MARTÍN DE PORRES,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA TARAPOTO 5,,1984,120511077,19/05/2027,92,229,--,Jr. JIMENEZ PIMENTEL No. 456,TARAPOTO,SAN MARTÍN,SAN MARTÍN
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,TARAPOTO 4,,1873,120511078,21/11/2026,97,233,--,Jr. JIMENEZ PIMENTEL No. 117,TARAPOTO,SAN MARTÍN,SAN MARTÍN
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,TARAPOTO 3,,3177,120511079,25/07/2027,60,150,--,Jr. SAN MARTIN No. 180,TARAPOTO,SAN MARTÍN,SAN MARTÍN
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA SULLANA 1,,3104,120511080,18/07/2027,122,277,--,Av. SAN MARTIN No. 590,SULLANA,SULLANA,PIURA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,IQUITOS 2,,3125,120511081,25/07/2027,47,58,--,Jr. NAPO No. 302 - 308 - 312,IQUITOS,MAYNAS,LORETO
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA TUMBES 3,,1784,120511082,--,73,143,--,Av. TUMBES No. 229 - 231,TUMBES,TUMBES,TUMBES
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,ICA 2,,3118,120511083,13/03/2027,235,330,--,Av. MUNICIPALIDAD No. 100 - 104 - 110 - 114,ICA,ICA,ICA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA SAN MARTIN 4,,1397,120511084,--,72,169,--,Av. PERU No. 1758,SAN MARTÍN DE PORRES,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,ICA 1,,2327,120511085,5/06/2027,105,146,--,Av. GRAU No. 385 - 389,ICA,ICA,ICA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SAN MARTIN 5,,3707,120511089,28/08/2027,38,97,--,Av. PERU No. 3634,SAN MARTÍN DE PORRES,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA ELIO,,103,120511092,--,72,189,--,Av. REYNALDO SAAVEDRA PIÑON No. 2615 - 2617,LIMA,LIMA,LIMA
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,SALA COLONIAL,,821 - 2026,120511093,12/02/2030,63,173,--,Av. OSCAR R. BENAVIDES No. 3112,BELLAVISTA,PROV. CONST. DEL CALLAO,CALLAO
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,TRUJILLO 1,,4534 - 2026,120511096,25/06/2030,82,244,--,Av. CESAR VALLEJO No. 237,TRUJILLO,TRUJILLO,LA LIBERTAD
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,TRUJILLO 2,,3048,120511101,17/07/2027,201,375,--,Jr. GRAU No. 467,TRUJILLO,TRUJILLO,LA LIBERTAD
20530811001,NEVADA ENTRETENIMIENTOS S.A.C.,VENTANILLA 3,,300,120511102,16/03/2027,37,57,--,"Av. AYACUCHO, LT. 20 AGRUPAMIENTO MI PERU Mz. A - A",VENTANILLA,PROV. CONST. DEL CALLAO,CALLAO
20531543280,HUNG Y YONG S.A.C.,PICHANAKI,,1407,120515003,14/04/2027,40,135,--,Jr. 24 DE SETIEMBRE No. 717,PICHANAQUI,CHANCHAMAYO,JUNÍN
20531543280,HUNG Y YONG S.A.C.,MILANO,,4311,120515005,3/10/2027,31,73,--,Jr. TARMA No. 217,CHANCHAMAYO,CHANCHAMAYO,JUNÍN
20508585293,INVERSIONES RECREATIVOS GUERRERO S.A.C.,EL TESORO,,002621-2023,120526003,22/06/2027,97,173,--,Jr. 28 DE JULIO No. 240,AYACUCHO,HUAMANGA,AYACUCHO
20510630239,NEGOCIACIONES Y REPRESENTACIONES AMILUZ S.A.C.,DOLPHINS,,005045,120527003,23/11/2027,63,173,--,Otro SECTOR 2 MZ. N GRUPO 9 Lt. 1,VILLA EL SALVADOR,LIMA,LIMA
20452721172,INVERSIONES ARMEL S.A.C.,FORTUNA,,3086,120578001,18/07/2027,30,171,--,"SAENZ PEÑA, MZ. R LT. 7 BARRIO CERCADO Mz. 108 - 110 - 112 - 114",HUANTA,HUANTA,AYACUCHO
20505155751,GAMING Y SOLUCIONES S.A.C.,GOOD LUCK,REST. 5TT,9607 - 2025,120579006,--,34,91,--,OLAYA MZ. M Lt. 22,URACA,CASTILLA,AREQUIPA
20463145734,MESAC SLOT S.A.C.,CONTTENTO,,001557,120588003,14/11/2027,114,297,--,Av. ARGENTINA No. 194,LIMA,LIMA,LIMA
20463145734,MESAC SLOT S.A.C.,REAL SLOT,,004188,120588004,7/02/2027,90,204,--,Av. BOLIVIA No. 110,LIMA,LIMA,LIMA
20463145734,MESAC SLOT S.A.C.,SLOT AND FIESTA,,002351,120588005,--,194,519,--,Av. 28 DE JULIO No. 325 y Calle JOSE T. GARCIA No. 118,HUACHO,HUAURA,LIMA
20463145734,MESAC SLOT S.A.C.,SLOT AND FIESTA,,000614-2024,120588007,8/02/2028,121,247,--,Av. TUPAC AMARU No. 1017,COMAS,LIMA,LIMA
20463145734,MESAC SLOT S.A.C.,SLOT AND FIESTA,,001988,120588008,--,103,256,--,Av. TORIBIO DE LUZURIAGA No. 557,HUARAZ,HUARAZ,ÁNCASH
20513831847,INVERSIONES Y RECREACIONES REYMAR S.A.C.,DOLPHINS,,160 - 2024,120590001,16/01/2028,86,248,--,Av. TUPAC AMARU No. 6651,COMAS,LIMA,LIMA
20507722092,GLADYS Y FRANCISCO S.A.C.,COMAS SLOT,,002208,120600002,29/05/2027,86,197,--,Av. TUPAC AMARU No. 3852 - 3854,COMAS,LIMA,LIMA
20513478896,AUROM S.A.C.,EL GANADOR 2,,000351,120614001,21/09/2027,96,225,--,Av. GUILLERMO DE LA FUENTE No. 360 - 362,COMAS,LIMA,LIMA
20531521987,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,VILLA FORTUNA,,3817 - 2024,120615002,10/07/2028,431,1698,--,Calle SAN MARTIN No. 736 y Calle ZELA No. 741,TACNA,TACNA,TACNA
20531521987,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,PARE2 & N9NES,,367 - 2025,120615003,21/01/2029,247,943,--,Calle MERCADERES No. 202 - 208,AREQUIPA,AREQUIPA,AREQUIPA
20531521987,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,PARES Y NONES CUSCO,,5146 - 2024,120615004,3/09/2028,362,1029,--,Calle MESON DE LA ESTRELLA No. 124,CUSCO,CUSCO,CUSCO
20531521987,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,VILLA FORTUNA - ILO,,1509 - 2025,120615005,4/03/2029,143,448,--,Av. MARIANO LINO URQUIETA No. 200 - 202,ILO,ILO,MOQUEGUA
20531521987,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,VILLA FORTUNA,,6198 - 2025,120615006,3/09/2029,410,1684,--,Calle SAN JUAN DE DIOS No. 112 - 114,AREQUIPA,AREQUIPA,AREQUIPA
20511943575,INVERSIONES NAPAN S.R.L,TIO RICO I,,002502,120623001,15/06/2027,34,82,--,Av. CAQUETÁ No. 1160 - 1170,RÍMAC,LIMA,LIMA
20511943575,INVERSIONES NAPAN S.R.L,TIO RICO III,,002710,120623003,28/06/2028,56,158,--,Av. MÉXICO No. 1691,LA VICTORIA,LIMA,LIMA
20530926592,GAME M & A S.A.C.,CLUB GAME 777,,004513,120624001,17/10/2027,61,224,--,"Otro PROYECTO INTEGRAL CHAVARRIA ZONA II, MZ.A Lt. 5",LOS OLIVOS,LIMA,LIMA
20486254441,SALTADITAS DE LA SUERTE S.A.C.,SUN CITY - ELIO,,003733,120625002,25/11/2026,69,203,--,Av. REYNALDO SAAVEDRA PINON No. 2683,LIMA,LIMA,LIMA
20486254441,SALTADITAS DE LA SUERTE S.A.C.,SUN CITY,,003011,120625003,14/06/2027,78,213,--,Av. ANGAMOS ESTE No. 830 - 840,SURQUILLO,LIMA,LIMA
20493364899,INVERSIONES RIO AMAZONAS S.A.C.,SAFARI,,002839,120654001,20/06/2027,109,192,--,Jr. NAPO No. 118 - 128,IQUITOS,MAYNAS,LORETO
20493364899,INVERSIONES RIO AMAZONAS S.A.C.,EL PARRAL,,002354-2023,120654002,7/06/2027,122,219,--,Calle NAPO No. 35,IQUITOS,MAYNAS,LORETO
20493364899,INVERSIONES RIO AMAZONAS S.A.C.,FORTUNA,,002929-2023,120654003,12/07/2027,82,135,--,Calle MARISCAL CASTILLA No. 108,YURIMAGUAS,ALTO AMAZONAS,LORETO
20258385994,CASTILLO DE ORO S.A.,CASTILLO DE ORO,,4179,120676001,25/09/2027,98,273,--,Av. SAENZ PEÑA No. 506,CALLAO,PROV. CONST. DEL CALLAO,CALLAO
20258385994,CASTILLO DE ORO S.A.,MR. MONEDA,,1680 - 2026,120676003,13/03/2030,105,287,--,Av. ABANCAY No. 1109,LIMA,LIMA,LIMA
20258385994,CASTILLO DE ORO S.A.,SEÑOR BILLETE,,4145,120676004,21/09/2027,55,165,--,Jr. GRAU No. 326,PACHACAMAC,LIMA,LIMA
20495648215,INVERSIONES BALORA S.A.C.,TGM ATLANTIS,,003054-2023,120683002,18/07/2027,102,226,--,Jr. 2 DE MAYO No. 444,CAJAMARCA,CAJAMARCA,CAJAMARCA
20495648215,INVERSIONES BALORA S.A.C.,CALIFORNIA,,002263,120683005,1/06/2027,169,334,--,Av. BALTA No. 240-B,MOQUEGUA,MARISCAL NIETO,MOQUEGUA
20510542968,JUNGLE INVERSIONES S.A.C.,4 ASES,,002045,120684001,--,43,113,--,Av. CESAR VALLEJO No. 225,TRUJILLO,TRUJILLO,LA LIBERTAD
20510542968,JUNGLE INVERSIONES S.A.C.,SALA 4 ASES - HUARAL,,4925 - 2025,120684003,14/07/2029,57,140,--,Av. CAHUAS No. 449,HUARAL,HUARAL,LIMA
20505328877,LEGUITALIA S.A.C.,BLUE STAR,,005420,120688001,14/12/2027,160,388,--,Av. GIRALDEZ No. 145,HUANCAYO,HUANCAYO,JUNÍN
